feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
seniority_Freshman,0.2393221726237124,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Great Lakes,0.2090089874654904,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Black,0.16234608961300842,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Far West,0.1363952260953847,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_Democrat,0.10469378114133926,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Republican_0,0.07690860676671146,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
is_married,0.06447000235419813,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Mid-Atlantic,0.06432016807267042,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Northeast,0.06257055230810973,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Arab,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Muslim,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Independent_1,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Biracial,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
committee_membership,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Hindu,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Caucasian,7.301921431244959,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
cosponsorship_status,5.063006253107809,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
years_of_experience,4.054788643287896,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_Republican,4.052852775149984,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Republican_1,4.003800545278677,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
experience_ratio,3.9079258116378175,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
years_of_staffer_experience,3.711622917987993,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Asian American/Pacific Islander,3.1356243622337883,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Far West,3.0555627683792173,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Northeast,2.938979204245788,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Far West,2.867183628784846,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Great Lakes,2.820015241434522,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Mid-Atlantic,2.77566734938267,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
gender_F,2.748873516261339,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Mid-Atlantic,2.731668759895878,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Catholic,2.7075995839383036,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Great Lakes,2.6089620600794117,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
military_service,2.4107406838661536,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Plains,2.3975724980431288,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Southeast,2.3920036647615026,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Buddhist,2.160981998401393,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Hispanic,1.8937499933182635,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Protestant Christian,1.7596008907563334,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Rocky Mountain,1.7328636184782575,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Northeast,1.5940576958062658,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
seniority_Senior,1.5277360635483161,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Independent_0,1.4166064341137405,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Independent_Northeast,1.4166064341137405,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_Independent,1.4166064341137405,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Democrat_0,1.2832192104753777,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
