feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy
region_Rocky Mountain,0.43194691210623826,positive,RandomForest,119,1,Senate,1,1.0
region_Southwest,0.07782811352270647,positive,RandomForest,119,1,Senate,1,1.0
race_id_Hispanic,0.052199030082252004,positive,RandomForest,119,1,Senate,1,1.0
clean_religion_Muslim,0.0,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Mormon,0.0,positive,RandomForest,119,1,Senate,1,1.0
race_id_Arab,0.0,neutral,RandomForest,119,1,Senate,1,1.0
committee_membership,0.0,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Hindu,0.0,neutral,RandomForest,119,1,Senate,1,1.0
race_id_Biracial,0.0,neutral,RandomForest,119,1,Senate,1,1.0
race_id_Native American,0.0,positive,RandomForest,119,1,Senate,1,1.0
cosponsorship_status,48.93709945678711,neutral,XGBoost,119,1,Senate,1,1.0
party_Republican,12.413445472717285,neutral,XGBoost,119,1,Senate,1,1.0
staffer_turnover_rate,10.718215942382812,negative,XGBoost,119,1,Senate,1,1.0
clean_religion_Catholic,8.089234352111816,positive,XGBoost,119,1,Senate,1,1.0
clean_religion_Protestant Christian,5.4195876121521,neutral,XGBoost,119,1,Senate,1,1.0
years_of_staffer_experience,4.291008949279785,negative,XGBoost,119,1,Senate,1,1.0
years_of_experience,3.122426748275757,positive,XGBoost,119,1,Senate,1,1.0
race_id_Caucasian,2.872670888900757,neutral,XGBoost,119,1,Senate,1,1.0
age,2.65743088722229,negative,XGBoost,119,1,Senate,1,1.0
region_Northeast,1.4788810014724731,negative,XGBoost,119,1,Senate,1,1.0
committee_membership,0.0,neutral,XGBoost,119,1,Senate,1,1.0
region_Far West,0.0,negative,XGBoost,119,1,Senate,1,1.0
region_Southwest,0.0,positive,XGBoost,119,1,Senate,1,1.0
region_Southeast,0.0,positive,XGBoost,119,1,Senate,1,1.0
region_Rocky Mountain,0.0,positive,XGBoost,119,1,Senate,1,1.0
is_married,0.0,neutral,XGBoost,119,1,Senate,1,1.0
region_Plains,0.0,positive,XGBoost,119,1,Senate,1,1.0
region_Mid-Atlantic,0.0,positive,XGBoost,119,1,Senate,1,1.0
region_Great Lakes,0.0,positive,XGBoost,119,1,Senate,1,1.0
gender_F,0.0,negative,XGBoost,119,1,Senate,1,1.0
party_Independent,0.0,negative,XGBoost,119,1,Senate,1,1.0
gender_M,0.0,neutral,XGBoost,119,1,Senate,1,1.0
party_Democrat,0.0,negative,XGBoost,119,1,Senate,1,1.0
race_id_Native American,0.0,positive,XGBoost,119,1,Senate,1,1.0
race_id_Hispanic,0.0,positive,XGBoost,119,1,Senate,1,1.0
race_id_Black,0.0,negative,XGBoost,119,1,Senate,1,1.0
race_id_Biracial,0.0,neutral,XGBoost,119,1,Senate,1,1.0
race_id_Asian American/Pacific Islander,0.0,negative,XGBoost,119,1,Senate,1,1.0
race_id_Arab,0.0,neutral,XGBoost,119,1,Senate,1,1.0
clean_religion_Unaffiliation/Unknown,0.0,negative,XGBoost,119,1,Senate,1,1.0
clean_religion_Muslim,0.0,neutral,XGBoost,119,1,Senate,1,1.0
clean_religion_Mormon,0.0,positive,XGBoost,119,1,Senate,1,1.0
clean_religion_Jewish,0.0,negative,XGBoost,119,1,Senate,1,1.0
clean_religion_Hindu,0.0,neutral,XGBoost,119,1,Senate,1,1.0
clean_religion_Buddhist,0.0,negative,XGBoost,119,1,Senate,1,1.0
military_service,0.0,positive,XGBoost,119,1,Senate,1,1.0
race_id_Caucasian,8.716731177661037,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
cosponsorship_status,8.53563786554814,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
party_Republican,7.322473625597327,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Far West,7.16505609623585,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Northeast,6.5807434894257915,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Great Lakes,5.4392918778843615,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Mid-Atlantic,5.3132644897061345,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Asian American/Pacific Islander,4.738479655624918,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
