registrant_lobby_actor_id,firm,lobbyists
214177,Kountoupes Denham Carr & Reid LLC,11
22172,American Israel Public Affairs Committee,11
200173,Bipartisan Policy Center Action Inc.,11
76626,"Tarplin, Downs & Young LLC",11
199838,Best Best & Krieger LLP,11
6383,CFM Advocates,11
278603,Elevate Government Affairs LLC,11
27783,Delta Development Group Inc.,11
70807,Nickles Group LLC,10
342380,AxAdvocacy LLC,10
258403,FS Vector LLC,10
177674,Visa Inc.,10
217020,Todd Strategy Group,10
213715,Chevron USA Inc.,10
47555,Blue Cross Blue Shield Association,10
232476,Miller Strategies LLC,10
315362,National Federation of Independent Business Inc.,10
68834,CVS Health,10
330867,American Civil Liberties Union,10
4723,American Dental Association,10
232055,Edison Electric Institute,10
112741,Singapore Economic Development Board,10
333236,Earthjustice Action,10
291821,Bristol-Myers Squibb Co.,10
4531,American Defense International Inc.,10
228929,DCI Group AZ LLC,10
344489,Smith Garson,10
43,American Association of Nurse Anesthesiology,10
149129,Walmart Inc.,10
165468,Equinor ASA,10
354510,Dionne Co.,10
3969,American Heart Association,10
87025,MasterCard Worldwide Inc.,10
217065,National Association of Chain Drug Stores,10
50617,Ogilvy Group LLC,10
172122,American Speech-Language-Hearing Association,10
7926,National Retail Federation,10
285913,Eli Lilly & Co.,10
40757,Accenture plc,10
7968,Hance Scarborough LLP,10
201593,McKesson Corp.,10
344424,Disability Belongs,10
81751,Capitol Hill Consulting Group,10
205878,Duke Energy Corp.,10
3232,Mayer Brown LLP,10
91032,Bayer Corp.,10
63660,Winning Strategies Washington LLC,10
213617,Kasowitz Benson Torres LLP,10
343357,Association of American Medical Colleges,9
13894,American College of Surgeons,9
219809,Venture Government Strategies LLC,9
232646,Intel Corp.,9
356027,Ridgeline Advocacy Group LLC,9
86597,American College of Surgeons Professional Association,9
104365,ML Strategies LLC,9
9355,Jewish Federations of North America Inc.,9
61481,Alliance of Community Health Plans Inc.,9
219008,American Council of Life Insurers,9
82634,Children's Hospital Association,9
231744,Siemens Corp.,9
177673,Wells Fargo & Co.,9
191585,Kyle House Group LLC,9
344714,SK Americas Inc.,9
226617,Farragut Partners LLP,9
171602,Alzheimer's Association,9
77684,Ulman Public Policy and Federal Relations,9
344050,American Property Casualty Insurance Association,9
352408,Basilinna Advisory LLC,9
13055,Public Strategies Washington Inc.,9
241807,Cogent Strategies LLC,9
144030,Altria Client Services LLC,9
215861,Capitol Advocacy Partners,9
335116,Apple Inc.,9
231322,Prism Group SE,9
5540,Davis & Harman LLP,9
208590,Atlantic Strategies Group LLC,9
300609,American Bar Association,9
58786,AFL-CIO,9
16707,American Association of Airport Executives,9
3730,BAE Systems Inc.,9
235829,Center for Biological Diversity,9
215313,Alignment Government Strategies,9
105497,Humane World Action Fund,9
101194,Davidoff Hutcher & Citron LLP,9
46079,Gilead Sciences Inc.,9
205554,Conafay Group LLC,9
242509,Klein/Johnson Group LLC,9
296230,Horizon Government Affairs,9
339745,Intuit Inc.,9
2112,Smith-Free Group LLC,9
200389,Investment Company Institute,9
334445,Samsung Electronics America Inc.,9
165373,Greater New York Hospital Association Inc.,9
71618,Jeffrey J. Kimbell & Associates Inc.,9
258596,Fulcrum Public Affairs LLC,9
113569,Foley & Lardner LLP,9
46858,Sustainable Strategies DC LLC,9
162620,Wiley Rein LLP,9
160781,"Porterfield, Fettig & Sears LLC",9
155543,Hill & Knowlton,9
94076,G2G Consulting LLC,9
168488,Pfizer Inc.,9
346858,Tax Fairness for Americans Abroad,9
232657,Shell USA Inc.,9
298843,T-Mobile USA Inc.,9
220055,New York Life Insurance Co.,9
263017,American Public Transportation Association,8
307696,Tusk Strategies LLC,8
162155,Russell Group Inc.,8
224446,theGROUP DC LLC,8
145435,"Taft, Stettinius & Hollister LLP",8
192884,Susan B. Anthony Pro-Life America,8
96686,National Association of Broadcasters,8
6103,Sidley Austin LLP,8
53545,National Multifamily Housing Council,8
344871,Citigroup Washington Inc.,8
166549,Disabled American Veterans,8
301105,Pioneer Public Affairs LLC,8
703,Adams and Reese LLP,8
330946,Moran Global Strategies Inc.,8
177274,Bolton-St. Johns LLC,8
250012,Sitrick Group LLC,8
191638,Picard Group LLC,8
155712,National Cattlemen's Beef Association,8
39526,National Cotton Council of America,8
285967,Salt Point Strategies LLC,8
292246,SAP America Inc.,8
354627,TSG Advocates DC LLC,8
345020,American Physical Therapy Association,8
296799,Atlas Crossing LLC,8
34544,American Waterways Operators,8
194309,Information Technology Industry Council,8
319744,Clark Hill Public Strategies LLC,8
36162,Paralyzed Veterans of America,8
345188,Google Client Services LLC,8
255055,United By Interest LLC,8
39251,Feeding America,8
169151,Toyota Motor North America Inc.,8
204357,Oracle Corp.,8
65482,Air Line Pilots Association International,8
339550,Environmental Defense Action Fund Inc.,8
316698,Leidos Inc.,8
145844,Normandy Group LLC,8
204348,CTIA,8
87583,American Cancer Society Cancer Action Network Inc.,8
150274,Education Trust,8
45638,Abbott Laboratories Inc.,8
3153,Fierce Government Relations,8
268804,General Motors Co.,8
11996,American Psychiatric Association,8
42828,Earthjustice,8
5021,Associated General Contractors of America Inc.,8
144929,Consumer Brands Association,8
240986,Federal Hall Policy Advisors LLC,8
107704,Delta Air Lines Inc.,8
82069,Madison Group LLC,8
72648,Cormac Group LLP,8
12500,Associated Builders and Contractors Inc.,8
236879,BP America Inc.,8
18758,National Kidney Foundation Inc.,8
6337,PACE LLP,8
155701,"American Federation of State, County and Municipal Employees",8
50504,National Automobile Dealers Association,8
278637,FedEx Corp.,8
245523,AMAC Action Inc.,8
234200,GuidePostStrategies LLC,8
227437,Ingram Group LLC,8
153008,Buchanan Ingersoll & Rooney PC,8
33952,American Association of Colleges of Osteopathic Medicine,8
27332,Retail Industry Leaders Association,8
33679,American Association of Orthopaedic Surgeons,8
216111,McCaulley & Co.,8
54955,American College of Radiology Association,7
213554,HillStaffer LLC,7
56021,National Treasury Employees Union,7
176782,American Congress of Obstetricians and Gynecologists,7
18177,American Academy of Family Physicians,7
220377,McKeon Group Inc.,7
7002,C2 Strategies,7
206592,KBS Group LLP,7
342711,American Airlines Inc.,7
53114,National Mining Association,7
207035,Citizens for Responsible Energy Solutions Inc.,7
3625,American Council on Education,7
242375,Federal Street Strategies LLC,7
217066,Healthcare Distribution Alliance,7
255801,A10 Associates LLC,7
27738,Brotherhood of Locomotive Engineers and Trainmen,7
208579,Panasonic Corp. of North America,7
55772,National Multiple Sclerosis Society,7
20225,GSK plc,7
244583,Chartwell Strategy Group LLC,7
36150,Prudential Financial Inc.,7
156266,Procter & Gamble Co.,7
218429,Adobe Inc.,7
352258,AerCap Ireland Ltd.,7
148229,Recording Industry Association of America,7
313226,Ascend Consulting LLC,7
249753,O'Neill and Associates LLC,7
191354,Empire Consulting Group Inc.,7
16766,American Society of Pension Professionals & Actuaries,7
61524,American Fuel & Petrochemical Manufacturers,7
163764,LobbyIt.com,7
93809,Aerospace Industries Association of America Inc.,7
106981,Consumer Bankers Association,7
4207,National Venture Capital Association,7
337702,"Becton, Dickinson and Co.",7
204360,UnitedHealth Group Inc.,7
345155,SHEIN Technology LLC,7
4971,Home Depot Inc.,7
262800,Platinum Advisors DC LLC,7
341830,Dell Technologies Inc.,7
289768,Alliance for Automotive Innovation,7
112935,Baker & Hostetler LLP,7
8900,Elevance Health Inc.,7
12564,TechNet,7
319287,Hyperfocal Communications LLC,7
343631,Science Applications International Corp.,7
193363,Porter Group LLC,7
162129,National Electrical Manufacturers Association,7
199938,Active Policy Solutions LLC,7
241687,Tai Ginsberg & Associates LLC,7
333192,Save the Children,7
81171,AeroVironment Inc.,7
101823,National Marine Manufacturers Association,7
105026,J Street,7
51054,Strategies 360 Inc.,7
352051,Checkmate Government Relations LLC,7
18774,National Fraternal Order of Police,7
198250,Alibaba Group Holding Ltd.,7
100109,HP Inc.,7
154724,Cargill Inc.,7
348349,A.T. Kearney Inc.,7
300447,Novartis Corp.,7
32770,National Restaurant Association,7
92471,The Arc of the United States,7
5437,National Organization for Rare Disorders Inc.,7
1278,Sonosky Chambers Sachse Endreson & Perry LLP,7
101822,NACS,7
11862,Ford Motor Co.,7
18384,Airlines for America Inc.,7
2857,Wilmer Cutler Pickering Hale & Dorr LLP,7
137407,Nestlé USA Inc.,7
219040,Sirona Strategies LLC,7
112820,McDermott Will & Emery LLP,7
337124,U.S. Travel Association,7
201568,NextEra Energy Inc.,7
336127,SPLC Action Fund,7
235094,Hanwha Q CELLS America Inc.,7
220304,Goldman Sachs Group Inc.,7
220418,Coinbase Inc.,7
172647,Ridge Policy Group,7
34259,American Red Cross,7
206207,Keller Partners & Co.,7
13535,American Apparel and Footwear Association,7
101733,CARE Action Now Inc.,7
10927,Cigna Group,7
272416,KPM Group DC LLC,7
90970,Whitmer & Worrall LLC,7
101666,Franklin Square Group LLC,7
352411,Burson Group LLC,7
283955,Fluor Corp.,7
326112,Woodside Energy Group Ltd.,6
200426,Carpi & Clay Inc.,6
103569,National Parks Conservation Association,6
346524,Rojas Public Affairs,6
161799,"Sorini, Samet & Associates LLC",6
340497,American Clean Power Association,6
34511,California State University,6
49990,Brunswick Group LLP,6
345564,Bank Policy Institute,6
198379,C&M International LLC,6
85494,Avenue Solutions,6
93028,Olsson Frank Weeda Terman Matz PC,6
191965,SourceAmerica,6
12833,American Soybean Association,6
234489,Plurus Strategies LLC,6
207243,Sandy Hook Promise Action Fund Inc.,6
320046,Pharmaceutical Care Management Association,6
164028,Rasky Partners Inc.,6
62,Federation of American Hospitals,6
101751,Berkshire Hathaway Energy Co.,6
56994,Bentley Systems Inc.,6
19500,American Benefits Council,6
202001,Penn Avenue Partners,6
150280,Sanofi U.S. Services Inc.,6
163650,PMI Global Services Inc.,6
9861,Global Business Alliance,6
222068,Equifax Inc.,6
313113,L3Harris Technologies Inc.,6
205320,Advanced Medical Technology Association,6
3088,Health and Medicine Counsel LLC,6
70858,Bockorny Group Inc.,6
338171,Constellation Energy Generation LLC,6
220056,Summit Strategies Government Affairs LLC,6
70436,London Stock Exchange Group plc,6
356840,Ethiopian World Federation Inc.,6
103374,Lawyers' Committee for Civil Rights Under Law,6
231959,Aflac Inc.,6
199062,Healthcare Leadership Council,6
17514,Cigar Association of America Inc.,6
358241,Advocus Partners LLC,6
351673,Thatcher & Co. Inc.,6
356686,Elevate Energy,6
319025,Software & Information Industry Association,6
302403,Doctors Without Borders,6
356667,PMI US Corporate Services Inc.,6
58208,Sempra Energy,6
99555,LyondellBasell Industries NV,6
32667,340B Health,6
103350,Booz Allen Hamilton Inc.,6
155802,Dow Chemical Co.,6
153446,Bank of America Corp.,6
343198,Miles Partnership LLLP,6
292660,Tencent Holdings Ltd.,6
18783,National Parent Teacher Association,6
320625,Razom Inc.,6
93117,Texas A&M University System,6
89282,Gordon Thomas Honeywell Governmental Affairs LLC,6
61644,SpaceX,6
231562,Jim Massie & Partners LLC,6
113883,Sierra Club,6
308300,Blue Origin LLC,6
150826,National Association of Mutual Insurance Companies,6
81003,American Association of Oral and Maxillofacial Surgeons,6
150716,Bedrock Strategies LLC,6
245642,Trust for America's Health,6
195948,Stewart Strategies & Solutions LLC,6
191620,Bennett Consulting Group,6
331815,SMART Policy Group LLC,6
3481,Biogen Inc.,6
65092,National Association of Truck Stop Operators,6
154607,American Federation of Teachers,6
319712,Potomac Advocates,6
344185,Charter Communications Inc.,6
5315,Thompson Coburn LLP,6
29506,Academy of Managed Care Pharmacy,6
204249,Association for Accessible Medicines,6
5086,Black & Veatch Corp.,6
212245,Association for Behavioral Health and Wellness,6
90312,American Council of Engineering Cos. Inc.,6
300399,Primacy Strategy Group LLC,6
94694,Association of American Railroads,6
220841,National Association of Forest Owners,6
223708,Hewlett Packard Enterprise Co.,6
34536,Zurich American Insurance Co.,6
26378,National Air Traffic Controllers Association,6
244837,CURA Strategies,6
162076,Anglo American plc,6
345016,Planned Parenthood Federation of America Inc.,6
301687,Mortgage Bankers Association,6
94738,National Association of Real Estate Investment Trusts Inc.,6
154984,Motion Picture Association Inc.,6
237709,Relativity Space Inc.,6
62510,U.S. Telecom Association,6
200700,Pet Advocacy Network,6
59981,Association of Equipment Manufacturers,6
38726,Defenders of Wildlife,6
104504,Airbus Group Inc.,6
58636,National Pork Producers Council,6
345165,Breakthrough T1D,6
231607,Glover Park Group LLC,6
82047,Transportation Intermediaries Association,6
28928,Disney Worldwide Services Inc.,6
302279,Kairos Power LLC,6
302107,Merck & Co. Inc.,6
24727,Nuclear Energy Institute Inc.,6
207401,FWD.us Inc.,6
191679,PepsiCo Inc.,6
27884,American Veterinary Medical Association,6
65735,Bravo Group Inc.,6
253010,Vectis DC,6
54603,Troutman Pepper Locke Strategies LLC,6
18134,National Council of Farmer Cooperatives,6
112753,OB-C Group LLC,6
338708,BASF Corp.,6
21743,American Society for the Prevention of Cruelty to Animals,6
253299,Animal Wellness Action,6
23338,American Academy of Pediatrics,6
146501,Boehringer Ingelheim Pharmaceuticals Inc.,6
51802,Gibson Dunn & Crutcher LLP,6
219872,Harbinger Strategies LLC,6
32040,Southwest Airlines Co.,6
157461,Capitol Associates Inc.,6
203384,American Investment Council,6
301100,Uber Technologies Inc.,6
7861,National Council of Nonprofits,6
245556,Ferox Strategies LLC,6
113997,"Province of Quebec, Canada",6
33260,Gun Owners of America Inc.,6
1956,FleishmanHillard,6
200088,United Continental Holdings Inc.,6
3361,Reed Smith LLP,6
16337,Northeastern University,6
21048,American Society of Nephrology,6
79706,United Steelworkers,6
32941,Capital One Financial Corp.,6
106185,FCA US LLC,6
303905,AstraZeneca Pharmaceuticals LP,6
28451,American Health Care Association,6
220230,Foresight Law + Policy PLLC,6
104744,National Corn Growers Association,6
219955,West Front Strategies LLC,6
77200,LNE Group LLC,6
108502,Cisco Systems Inc.,6
78239,CME Group Inc.,6
11737,Ocean Conservancy Inc.,6
151472,Water Strategies LLC,6
347290,RKT Holdings LLC,6
344686,Valcour LLC,6
63413,Fidelity Investments,6
50339,National Grid USA,5
58056,Association of American Publishers Inc.,5
232061,Entertainment Software Association,5
37731,Managed Funds Association,5
6666,"Transportation Trades Department, AFL-CIO",5
360573,RJL Solutions,5
14912,American Association of Port Authorities,5
262190,Firearms Policy Coalition Inc.,5
252402,Immigration Hub LLC,5
145413,AUX Initiatives LLC,5
39994,Reproductive Freedom for All,5
293549,Rock Central LLC,5
27773,Union Pacific Corp.,5
50255,Foley Hoag LLP,5
319365,Alpine Advisors LLC,5
97542,Tyson Foods Inc.,5
113254,Independent Diplomat Inc.,5
221921,National Association of Insurance and Financial Advisors,5
99133,Vietnam Veterans of America,5
16296,EMD Serono Inc.,5
48480,Madison Services Group Inc.,5
303624,Viatris Inc.,5
24139,American Academy of Dermatology,5
229784,Cardinal Infrastructure LLC,5
320013,Integer LLC,5
145345,National Group LLP,5
21167,American College of Rheumatology,5
245649,ENGIE North America Inc.,5
204242,Rising Tide Associates LLC,5
298878,Rational 360 Inc.,5
3551,Paragon Government Relations Inc.,5
297253,Robinhood Markets Inc.,5
8895,International Paper Co.,5
45003,American Academy of Neurology,5
154499,American Electric Power Co. Inc.,5
207009,AbbVie Inc.,5
228506,Williams Group,5
30008,American Institute of Architects,5
94096,Promotional Products Association International,5
80261,Centene Corp.,5
171371,Cummins Inc.,5
9175,American Bird Conservancy,5
162680,American Gas Association,5
221042,Consumer Technology Association,5
140315,"Sandler, Travis & Rosenberg PA",5
27434,American Road and Transportation Builders Association,5
281812,Burson Cohn & Wolfe LLC,5
150435,Service Employees International Union,5
150588,Coalition for a Prosperous America Education Fund Inc.,5
145164,Natural Resource Results LLC,5
207422,Giffords: Courage to Fight Gun Violence,5
341370,Deloitte LLP,5
258590,Airports Council International - North America,5
301243,Livingston Group LLC,5
99126,Campaign for Tobacco-Free Kids Action Fund,5
302920,ServiceNow Inc.,5
2884,College of American Pathologists,5
303462,Pyxis Partners LLC,5
60525,American Society for Radiation Oncology,5
11484,Humana Inc.,5
241642,HillEast Group LLC,5
105375,TransCanada PipeLines Ltd.,5
74912,National Apartment Association,5
200189,Coca-Cola Co.,5
28052,National Shooting Sports Foundation Inc.,5
227288,Quinn Emanuel Urquhart & Sullivan LLP,5
34239,Guttmacher Institute,5
354363,Arrow Group Consulting LLC,5
360887,PWC US Group LLP,5
135298,Korea International Trade Association,5
28183,Bread for the World Inc.,5
293559,H&M Strategies LLP,5
163717,Siemens Healthineers AG,5
206062,Republic Consulting LLC,5
234794,Daikin U.S. Corp.,5
294031,Artemis Policy Group LLC,5
76341,"Rape, Abuse and Incest National Network",5
230985,Saildrone Inc.,5
206825,Brooks Bawden Moore LLC,5
78121,Liberty Mutual Group Inc.,5
249053,Shumaker Advisors LLC,5
232000,RAI Services Co. Inc.,5
13086,D.C. Legislative and Regulatory Services Inc.,5
158688,International Brotherhood of Teamsters,5
178368,AnnDyl Policy Group LLC,5
88438,MML&K Government Solutions,5
59436,Conservation Fund,5
56361,National Council of Jewish Women,5
77088,Polaris Consulting LLC,5
17012,Entergy Services LLC,5
329579,Association for Materials Protection and Performance Inc.,5
56926,New England Council,5
359017,DSD Advisors LLC,5
196532,Access Partnership LLC,5
202160,Desimone Consulting LLC,5
38931,Institute of Electrical and Electronics Engineers Inc.,5
77147,DISH Network LLC,5
19169,Catholic Health Association of the United States,5
224491,Huntington Ingalls Industries Inc.,5
25256,Textron Inc.,5
200062,Ducks Unlimited Inc.,5
356397,Converge Public Strategies,5
51197,Human Rights Campaign,5
350902,Intersection Government Relations LLC,5
14875,Dominion Energy Inc.,5
237833,Land O'Lakes Inc.,5
52344,Strategic Health Care,5
162689,Koch Government Affairs LLC,5
344192,eBay Inc.,5
255919,Economic Security Project Action Inc.,5
107,National Wildlife Federation,5
38663,National Association of Independent Colleges and Universities,5
245107,Emergent Strategies LLC,5
2955,KPMG LLP,5
155628,Duberstein Group Inc.,5
316770,Paramount Global,5
81453,Potomac Capital Associates Inc.,5
335348,Baxter Healthcare Corp.,5
217068,National Community Pharmacists Association,5
26395,"American Museum of Natural History (New York, N.Y.)",5
138949,China Council for the Promotion of International Trade,5
40510,Truck Renting and Leasing Association,5
348649,AA Access Partnership Pte. Ltd.,5
226465,American Public Power Association,5
168510,National Beer Wholesalers Association,5
93650,Stanton Park Group LLC,5
234415,"Milne, Wiener & Shofe Global Strategies",5
33748,Anti-Defamation League,5
79362,Solar Energy Industries Association Inc.,5
191571,Vertex Pharmaceuticals Inc.,5
81903,Heideman Nudelman & Kalik PC,5
342099,Principal Financial Group,5
16826,International Association of Fire Fighters,5
143745,Association of Fish and Wildlife Agencies,5
220208,McLarty Inbound LLC,5
8444,Americans for Tax Reform,5
346921,GE Vernova International LLC,5
350609,National Alliance for Care at Home,5
113998,Moroccan National Tourist Office,5
333339,RELX Inc.,5
283726,Co2efficient LLC,5
330423,De Beers plc,5
11035,Plasma Protein Therapeutics Association,5
41171,National Foreign Trade Council,5
259111,America's Essential Hospitals,5
230562,Honda North America Inc.,5
201488,Motorola Solutions Inc.,5
354692,Rathmell Short LLP,5
315363,Michael J. Fox Foundation for Parkinson's Research,5
220432,Autism Speaks Inc.,5
60672,Power to Decide,5
340206,News/Media Alliance,5
238396,Anduril Industries Inc.,5
341619,BlackRock Funds Services Group LLC,5
228614,Patriotic Millionaires LLC,5
217023,Brimley Group Inc.,5
151330,Growth Energy Inc.,5
333165,News Corp.,5
55474,Kroger Co.,5
206420,American Association of Nurse Practitioners,5
245209,Capitol Hill Policy Group LLC,5
3723,Jones Walker LLP,5
165956,Wine & Spirits Wholesalers of America Inc.,5
113078,British Tourist Authority,5
147052,American Land Title Association,5
340651,Tesla Inc.,5
309655,Federal Health Policy Strategies LLC,5
52818,Kearney Donovan & McGee PC,5
5549,Morgan Stanley & Co. Inc.,5
293585,DoorDash Inc.,5
32872,American Society of Civil Engineers,5
114289,Porter Wright Morris & Arthur LLP,5
205074,Motor & Equipment Manufacturers Association,5
203684,Cheniere Energy Inc.,5
21072,American College of Physicians,5
243759,Pacific Gas and Electric Co.,5
330216,Mission Strategies LLC (Texas),5
301341,535 Group LLC,5
226853,American Association for Homecare,5
338380,World Shipping Council,5
330373,CropLife America,5
316447,Peterson Group Inc. (Minnesota),5
291716,Shopify Inc.,5
206541,"Hooper, Lundy & Bookman PC",5
329714,Constitution Partners LLC,5
234942,Healthsperien LLC,5
15071,Caterpillar Inc.,5
32408,Johns Hopkins University,5
79896,"Graves, Anja",5
217302,Cox Enterprises Inc.,5
283541,FDD Action,5
291370,Taiwan Semiconductor Manufacturing Co. Ltd.,5
342782,Tremont Strategies Group LLC,5
