person_id,first_name,last_name,party_name,us_state_id,district_no,display_name,Chamber,current_staff_count,staff_departed,turnover_rate
51230,Peter,Welch,Democrat,VT,1,Sen. Peter Welch D-VT,Senate,41,8,0.1951219512195122
52983,Todd,Young,Republican,IN,1,Sen. Todd Young R-IN,Senate,41,7,0.17073170731707318
189136,Ruben,Gallego,Democrat,AZ,1,Sen. Ruben Gallego D-AZ,Senate,41,0,0
307631,Josh,Hawley,Republican,MO,1,Sen. Josh Hawley R-MO,Senate,42,16,0.38095238095238093
260075,John Neely,Kennedy,Republican,LA,1,Sen. John Neely Kennedy R-LA,Senate,42,16,0.38095238095238093
227472,French,Hill,Republican,AR,2,Rep. French Hill R-AR-2,House,42,9,0.21428571428571427
25648,Andy,Kim,Democrat,NJ,1,Sen. Andy Kim D-NJ,Senate,42,2,0.047619047619047616
192743,Eric,Schmitt,Republican,MO,2,Sen. Eric Schmitt R-MO,Senate,43,13,0.3023255813953488
51493,Chris,Murphy,Democrat,CT,2,Sen. Chris Murphy D-CT,Senate,43,5,0.11627906976744186
66871,Ben Ray,Luján,Democrat,NM,2,Sen. Ben Ray Luján D-NM,Senate,44,6,0.13636363636363635
51613,Bobby,Scott,Democrat,VA,3,Rep. Bobby Scott D-VA-3,House,44,1,0.022727272727272728
51279,Marsha,Blackburn,Republican,TN,2,Sen. Marsha Blackburn R-TN,Senate,45,18,0.4
422906,Dave,McCormick,Republican,PA,1,Sen. Dave McCormick R-PA,Senate,45,4,0.088888889
197755,Angus,King,Independent,ME,2,Sen. Angus King I-ME,Senate,45,3,0.066666667
282320,Tina,Smith,Democrat,MN,1,Sen. Tina Smith D-MN,Senate,45,2,0.044444444444444446
151822,Ron,Johnson,Republican,WI,1,Sen. Ron Johnson R-WI,Senate,46,10,0.21739130434782608
66855,Brett,Guthrie,Republican,KY,2,Rep. Brett Guthrie R-KY-2,House,46,6,0.13043478260869565
317327,John,Fetterman,Democrat,PA,2,Sen. John Fetterman D-PA,Senate,47,17,0.3617021276595745
51207,Tim,Walberg,Republican,MI,5,Rep. Tim Walberg R-MI-5,House,47,13,0.2765957446808511
259552,Catherine,Cortez Masto,Democrat,NV,2,Sen. Catherine Cortez Masto D-NV,Senate,47,4,0.085106383
51558,Mazie,Hirono,Democrat,HI,1,Sen. Mazie Hirono D-HI,Senate,47,1,0.021276596
365070,Bill,Hagerty,Republican,TN,1,Sen. Bill Hagerty R-TN,Senate,48,13,0.2708333333333333
51863,John,Barrasso,Republican,WY,2,Sen. John Barrasso R-WY,Senate,48,11,0.22916666666666666
69394,Michael,Bennet,Democrat,CO,2,Sen. Michael Bennet D-CO,Senate,48,6,0.125
232351,Maggie,Hassan,Democrat,NH,1,Sen. Maggie Hassan D-NH,Senate,48,5,0.10416666666666667
51186,Lindsey,Graham,Republican,SC,2,Sen. Lindsey Graham R-SC,Senate,49,5,0.10204081632653061
468658,Ashley,Moody,Republican,FL,1,Sen. Ashley Moody R-FL,Senate,49,4,0.081632653
221840,Dan,Sullivan,Republican,AK,1,Sen. Dan Sullivan R-AK,Senate,50,7,0.14
192907,Thom,Tillis,Republican,NC,2,Sen. Thom Tillis R-NC,Senate,50,6,0.12
175583,John,Hickenlooper,Democrat,CO,1,Sen. John Hickenlooper D-CO,Senate,50,5,0.1
369737,Raphael,Warnock,Democrat,GA,2,Sen. Raphael Warnock D-GA,Senate,51,7,0.13725490196078433
163882,Mark,Kelly,Democrat,AZ,2,Sen. Mark Kelly D-AZ,Senate,51,6,0.11764705882352941
259494,Jacky,Rosen,Democrat,NV,1,Sen. Jacky Rosen D-NV,Senate,51,4,0.078431373
51658,Chris,Van Hollen,Democrat,MD,2,Sen. Chris Van Hollen D-MD,Senate,51,4,0.078431373
51287,John,Boozman,Republican,AR,1,Sen. John Boozman R-AR,Senate,52,11,0.21153846153846154
192689,Jason,Smith,Republican,MO,8,Rep. Jason Smith R-MO-8,House,52,8,0.15384615384615385
51168,Susan,Collins,Republican,ME,1,Sen. Susan Collins R-ME,Senate,52,6,0.11538461538461539
151827,Mike,Lee,Republican,UT,1,Sen. Mike Lee R-UT,Senate,52,5,0.096153846
175490,Tim,Kaine,Democrat,VA,1,Sen. Tim Kaine D-VA,Senate,52,2,0.038461538461538464
240947,Andrew,Garbarino,Republican,NY,2,Rep. Andrew Garbarino R-NY-2,House,52,0,0
151823,Chris,Coons,Democrat,DE,1,Sen. Chris Coons D-DE,Senate,53,6,0.11320754716981132
307589,Elissa,Slotkin,Democrat,MI,1,Sen. Elissa Slotkin D-MI,Senate,53,5,0.094339623
190615,Joni,Ernst,Republican,IA,2,Sen. Joni Ernst R-IA,Senate,54,20,0.37037037037037035
51218,Lisa,Murkowski,Republican,AK,2,Sen. Lisa Murkowski R-AK,Senate,54,2,0.037037037037037035
51223,Jack,Reed,Democrat,RI,1,Sen. Jack Reed D-RI,Senate,54,1,0.018518518518518517
51260,Tammy,Baldwin,Democrat,WI,2,Sen. Tammy Baldwin D-WI,Senate,55,2,0.036363636
51608,Adam,Schiff,Democrat,CA,2,Sen. Adam Schiff D-CA,Senate,56,3,0.053571429
