person_id,Chamber,us_state_id,party_name,display_name,staff_count,total_staff_experience,average_staff_experience,chief_of_staff_experience
417822,House,TX,Republican,Rep. Nathaniel Moran R-TX-1,15,165.7609027,11.05072684,19
418087,House,IL,Democrat,Rep. Eric Sorensen D-IL-17,18,161.708078,8.983782112,5
418214,House,TX,Democrat,Rep. Greg Casar D-TX-35,22,193.1962111,8.781645961,16
420280,House,CA,Democrat,Rep. Robert Garcia D-CA-42,23,133.5392214,5.806053105,18
422300,House,NY,Democrat,Rep. Laura Gillen D-NY-4,14,223.7194543,15.97996102,8
422519,House,OH,Democrat,Rep. Greg Landsman D-OH-1,16,230.2805396,14.39253372,20
422906,Senate,PA,Republican,Sen. Dave McCormick R-PA,45,280.5687818,6.234861819,10
424340,House,NJ,Democrat,Rep. Rob Menendez D-NJ-8,19,187.0396733,9.844193334,10
429181,House,WA,Democrat,Rep. Marie Gluesenkamp Perez D-WA-3,16,247.2689038,15.45430649,17
431425,House,RI,Democrat,Rep. Seth Magaziner D-RI-2,16,98.1963392,6.1372712,6
431938,House,FL,Republican,Rep. Laurel Lee R-FL-15,15,173.9747712,11.59831808,8
433408,House,IL,Democrat,Rep. Jonathan Jackson D-IL-1,18,259.8628566,14.43682537,12
433952,House,NY,Democrat,Rep. Pat Ryan D-NY-18,20,85.67947,4.2839735,12
435358,House,TN,Republican,Rep. Andy Ogles R-TN-5,15,134.9833841,8.998892273,17
438624,House,IN,Republican,Rep. Rudy Yakym R-IN-2,12,210.106155,17.50884625,16
441370,House,GU,Republican,Del. Jim Moylan R-GU-1,13,105.2186665,8.09374358,16
442516,House,MI,Democrat,Rep. Kristen McDonald Rivet D-MI-8,14,148.8399938,10.63142813,18
443065,House,CO,Republican,Rep. Gabe Evans R-CO-8,13,118.8990364,9.146079719,5
458450,House,CA,Democrat,Rep. George Whitesides D-CA-27,12,101.2966173,8.441384774,15
461665,House,PR,Democrat,Resident Commissioner Pablo José Hernández D-PR-1,17,269.1168592,15.83040348,20
461790,House,CA,Democrat,Rep. Lateefah Simon D-CA-12,12,232.160191,19.34668259,7
461974,House,RI,Democrat,Rep. Gabe Amo D-RI-1,17,201.095331,11.82913711,9
466203,Senate,MD,Democrat,Sen. Angela Alsobrooks D-MD,33,96.91808035,2.936911526,11
468658,Senate,FL,Republican,Sen. Ashley Moody R-FL,47,143.2685686,3.048267418,13
471890,House,MO,Democrat,Rep. Wesley Bell D-MO-1,15,223.5920419,14.90613613,11
476519,House,CO,Republican,Rep. Jeff Hurd R-CO-3,21,134.5901957,6.409056939,13
476979,House,NC,Republican,Rep. Pat Harrigan R-NC-10,13,142.8849362,10.99114894,13
478639,House,PA,Republican,Rep. Rob Bresnahan R-PA-8,15,176.8652737,11.79101825,19
478640,House,CA,Democrat,Rep. Derek Tran D-CA-45,14,208.3615995,14.8829714,20
478829,House,AZ,Democrat,Rep. Yassamin Ansari D-AZ-3,17,156.3365884,9.196269908,6
479918,House,AZ,Republican,Rep. Abe Hamadeh R-AZ-8,13,270.4104457,20.80080351,7
482859,House,NC,Republican,Rep. Brad Knott R-NC-13,12,278.6645813,23.22204844,9
482861,House,VA,Democrat,Rep. Eugene Vindman D-VA-7,17,214.0557314,12.59151361,6
487250,House,TX,Republican,Rep. Brandon Gill R-TX-26,13,179.9892301,13.84532539,13
489531,Senate,MT,Republican,Sen. Tim Sheehy R-MT,29,239.9968521,8.275753519,14
489640,House,CA,Democrat,Rep. Sam Liccardo D-CA-16,16,158.4090492,9.900565573,11
490312,House,OH,Republican,Rep. Dave Taylor R-OH-2,14,119.7965342,8.5568953,8
490772,House,SC,Republican,Rep. Sheri Biggs R-SC-3,16,92.03271847,5.752044905,10
493583,House,IN,Republican,Rep. Jefferson Shreve R-IN-6,11,243.8346084,22.16678258,5
495551,House,WI,Republican,Rep. Tony Wied R-WI-8,12,165.7336327,13.81113606,7
495840,House,KS,Republican,Rep. Derek Schmidt R-KS-2,10,152.3765853,15.23765853,14
502201,House,NJ,Democrat,Rep. LaMonica McIver D-NJ-10,17,171.5991062,10.09406507,18
509056,House,GA,Republican,Rep. Brian Jack R-GA-3,11,192.0492901,17.45902637,7
509930,House,MP,Republican,Del. Kim King-Hinds R-MP-1,14,239.287135,17.09193822,19
